"Name","Class","Marks"
"wdfcq","qfdfd","1737","1"
"dwqdq","qfdqf","1890","0"
"qqqcc","ffdbf","1256","1"
"cqbaa","dbdcw","1851","0"
"bbwdd","dfabb","1099","1"
"wbwdf","qdqqw","1936","0"
"dwddd","fqwdf","1193","1"
"addcf","babfa","1514","0"
"awbwc","dwqda","1111","0"
"ddbqd","dwccd","1893","1"
"faadd","aacwc","1520","1"
"wwdqd","qqbfa","1924","1"
"qqwfb","cfdqa","1008","1"
"bbqqc","cddbf","1213","0"
"ddadd","aqfdw","1623","1"
"qbbwa","ddwqq","1597","1"
"dfcaq","bdwbd","1810","1"
"fcbaa","aqdcd","1214","0"
"fcbqa","cwfqw","1589","0"
"qfwdw","bddwd","1162","1"
"dacaw","cqaqd","1626","1"
"cwdcq","dqacq","1496","1"
"bwfdw","dffcq","1703","0"
"qdqaq","bwaca","1717","0"
"cddbq","dabdf","1719","0"
"dddqb","afcdq","1383","0"
"bqwqq","dcbdf","1069","0"
"dwqqd","wcqbq","1976","1"
"waaqf","dqwqa","1308","1"
"abcqq","dqbaq","1849","0"
"dwcaq","ddqaw","1451","1"
"fdfqb","dqqbd","1035","0"
"bfbfw","bcdad","1600","0"
"wqwbb","dcqcw","1792","0"
"cwqdw","bfdqb","1183","1"
"bddwd","qqwqf","1460","1"
"qqawc","cwcbq","1942","0"
"qdbbd","dwqfw","1171","1"
"dwqcb","cddqf","1465","0"
"qqfqf","faqcq","1043","0"
"bqdww","qqbdc","1384","1"
"dfddb","qqdqw","1019","0"
"qdqcq","dbdwc","1842","1"
"adwfw","cqdwb","1849","0"
"wcqab","fafdb","1059","1"
"cdwfw","cacqq","1935","1"
"qacdw","qdddd","1897","0"
"qwqwc","ddwdw","1726","0"
"wcqqa","bacbf","1199","1"
"dqdww","qdqdd","1989","1"
"qqqdd","cfdca","1004","0"
"aqcwb","wdadf","1380","1"
"qcaba","awddb","1641","0"
"qffdq","dqccf","1253","0"
"daqwq","qdddd","1025","1"
"bcafq","daqfc","1547","1"
"dqccq","abbda","1554","1"
"cbdwq","ddaab","1606","0"
"bqcdb","dbafq","1755","1"
"fawaq","wqcdd","1051","1"
"wwbca","wqqcc","1924","0"
"cbwqd","acbwq","1444","0"
"wbqad","cbddw","1416","0"
"ddffw","aabwq","1199","0"
"qwdfd","bdcbw","1640","1"
"ddfbq","qfddd","1079","1"
"ddwfd","aqdwd","1327","0"
"wwcdb","bqqqc","1283","0"
"wwbcd","qwqqa","1374","1"
"qdwfc","qwfdd","1552","0"
"dbdcb","bqddd","1779","1"
"qaqfq","wcdwd","1316","0"
"bfcdd","ddqwd","1143","1"
"fcqwf","bdcac","1688","1"
"cfwdd","dcqwf","1562","0"
"wdddw","fafad","1794","1"
"fdqqd","bcqdq","1877","0"
"wccad","dfdff","1597","1"
"qdcfq","adwfq","1494","0"
"awacc","ddqqw","1715","0"
"dcfqa","ffddq","1064","0"
"dabdf","qaabd","1961","0"
"qbqqd","bbfbc","1666","1"
"cwqwf","qqcfc","1122","0"
"fdwcd","qcdbq","1728","0"
"afbda","baqqf","1348","0"
"qbcbq","cfaqd","1390","0"
"dbqqc","abdfw","1061","1"
"qdqdw","qfwdq","1361","1"
"dqfwb","ddadf","1307","0"
"wwfbf","dqccq","1489","0"
"ddbdq","cqqdb","1100","1"
"ddcba","qafff","1841","0"
"bfbac","dffbw","1948","0"
"ffdqq","ccddd","1237","1"
"cacda","qbaqq","1590","0"
"dwddq","dcfwq","1113","1"
"dwdfb","qdbbd","1070","1"
"qaqba","dfqqf","1197","1"
"qcbfd","qbccd","1638","0"
"bdqfa","bbacd","1385","1"
"abfdd","qfwdf","1777","1"
"dqaqw","qdddd","1845","0"
"qqqqd","qqfbw","1552","0"
"ccqbq","bcdqf","1966","0"
"qcfwc","bwadb","1969","1"
"dddwd","qwfaf","1230","0"
"cbbff","bfdqb","1222","0"
"fqdbq","wqadq","1729","1"
"wacbc","cdaqb","1897","0"
"bfqbc","wcafq","1963","0"
"daaqc","dbafw","1410","0"
"qfddc","qwcda","1787","0"
"baacc","bdwwa","1539","0"
"fqwcq","daqqb","1356","1"
"bqcfq","ffdfc","1790","1"
"dcqqd","cdddd","1981","0"
"caqqc","dcbdw","1740","0"
"ddaad","adccd","1914","0"
"qbqww","bdfdc","1069","0"
"dqwbq","fqqac","1846","1"
"cqaqd","qfqdb","1912","1"
"bdqdq","awfff","1194","1"
"afadq","fdadq","1458","1"
"waacd","ddqqa","1217","0"
"cbqqw","dcwqb","1582","0"
"cdwdf","adwaq","1861","0"
"dqcww","cfdcf","1821","0"
"bdddd","fqfcd","1068","1"
"qdcwf","dqqdc","1590","1"
"bcfdw","dqaqb","1411","1"
"dwbwb","ddcad","1303","0"
"qdwda","qbqqq","1710","1"
"bcdaw","qqbcb","1889","1"
"cbdbc","qwddf","1402","0"
"ddddb","dqqcq","1059","1"
"adabd","fcdda","1858","0"
"adawc","badcd","1293","1"
"bwfcf","dwdwq","1384","0"
"cqfca","qwqaw","1363","1"
"dqddd","bbfdf","1880","0"
"fqbca","adqqd","1637","0"
"dwwwd","dwdqb","1445","1"
"affbd","qqada","1178","1"
"acfqa","dfqqf","1164","0"
"qdwwq","qfwqd","1851","0"
"cqaab","fdcqd","1843","0"
"bfdqd","dfqqd","1774","1"
"wdqdb","bqbac","1647","0"
"bdqaf","qqfaw","1081","1"
"fqdwf","qcfdb","1915","0"
"qwqwq","faqqb","1010","0"
"ddafa","daqbd","1171","0"
"bqqqd","wdqfw","1916","1"
"dcfqw","cwdaw","1413","0"
"dqdwa","dqaqd","1963","0"
"daqaw","fbdwq","1449","1"
"dbqca","dbqww","1899","0"
"adqqd","cqwdq","1708","0"
"acqwd","fdbdd","1923","1"
"ddqda","fqwdc","1514","0"
"cfqbb","dbdcd","1793","1"
"aabwd","bfddb","1709","0"
"qdfdf","fdcqf","1584","0"
"cqqfa","afqfq","1059","0"
"cdddq","qqqda","1532","1"
"fqdcd","qcbdc","1272","0"
"ddacd","cddca","1499","1"
"dbbcf","bcfqa","1287","0"
"qbdqc","fwqdd","1092","0"
"awqab","fwdaq","1129","1"
"cabff","cdadd","1096","1"
"awdwf","fdbbd","1835","1"
"dqdwc","wqdcd","1836","0"
"wdbbf","aqdcd","1616","1"
"aacwf","wffqw","1905","0"
"wdccw","bbddf","1199","1"
"wbqbq","cfcbd","1542","1"
"wqafd","dadqq","1458","1"
"fwbwb","fbdfd","1213","1"
"qwfad","wqcad","1292","1"
"qqddf","baqbw","1331","1"
"qwcwf","wbdqw","1653","1"
"fdcqf","dqqdw","1070","1"
"bqdda","dbfqd","1238","0"
"cqqcw","qqfdd","1651","0"
"qqdda","bdacd","1289","1"
"dadqa","bqqdc","1371","1"
"bwdwd","qcfcb","1651","1"
"cfbqd","daccq","1744","0"
"qwqdc","wqcac","1338","1"
"fbawd","fabbq","1121","0"
"adbcw","wbqad","1909","1"
"addcw","bddqq","1352","1"
"dqdad","dbqca","1745","0"
"qcfbf","dawbq","1244","1"
"adaaf","fcqfc","1039","1"
"dfbfa","qdawq","1071","0"
"qbddd","qaqqc","1371","1"
"wqbdq","dbafq","1024","0"
"cwccq","wqqwq","1968","0"
"dddqd","acddf","1195","0"
"afbda","qdadc","1281","1"
"qbdcw","cwfdf","1453","0"
"dqbda","dcqfc","1273","1"
"cffda","ffadq","1457","0"
"fadcd","fadac","1577","0"
"wqdqd","dwddc","1136","0"
"wqbfq","dbqqc","1996","0"
"ddqww","bqbcf","1887","1"
"dqffc","dabfw","1615","1"
"fdqbf","fbfwd","1290","1"
"qccdb","qqdfa","1915","0"
"wbwdf","fddaw","1170","0"
"dddqd","bqcww","1028","0"
"cfdda","ccdfd","1352","1"
"bbffa","qaaad","1457","1"
"wqacb","fcacq","1604","0"
"dqfcd","qfddw","1058","0"
"qqbwq","dfffq","1793","1"
"wafdf","dfbqq","1376","0"
"qffdd","qfbdq","1214","0"
